danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.403,0.338,8,-12.371,0,0.0322,0.727,0.0,0.0849,0.233,126.23,audio_features,48l7PNpT2fBoT4cdLW6EzP,spotify:track:48l7PNpT2fBoT4cdLW6EzP,https://api.spotify.com/v1/tracks/48l7PNpT2fBoT4cdLW6EzP,https://api.spotify.com/v1/audio-analysis/48l7PNpT2fBoT4cdLW6EzP,229227,4
0.256,0.464,5,-10.959,1,0.0382,0.433,0.0,0.121,0.355,205.362,audio_features,0gLQ6jhJsyYfl7PrD1RZ7X,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,https://api.spotify.com/v1/tracks/0gLQ6jhJsyYfl7PrD1RZ7X,https://api.spotify.com/v1/audio-analysis/0gLQ6jhJsyYfl7PrD1RZ7X,209293,3
0.762,0.646,10,-8.69,0,0.092,0.0105,2.14e-06,0.0406,0.819,95.992,audio_features,680kMGV6szhTiZbHRr3vLi,spotify:track:680kMGV6szhTiZbHRr3vLi,https://api.spotify.com/v1/tracks/680kMGV6szhTiZbHRr3vLi,https://api.spotify.com/v1/audio-analysis/680kMGV6szhTiZbHRr3vLi,330080,4
0.867,0.517,11,-13.22,0,0.088,0.00449,0.000343,0.0864,0.862,133.149,audio_features,1B75hgRqe7A4fwee3g3Wmu,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/audio-analysis/1B75hgRqe7A4fwee3g3Wmu,257360,4
0.775,0.378,6,-14.892,0,0.103,0.207,5.34e-06,0.107,0.86,144.193,audio_features,2lvk6CUSHz4j8huQ25gH54,spotify:track:2lvk6CUSHz4j8huQ25gH54,https://api.spotify.com/v1/tracks/2lvk6CUSHz4j8huQ25gH54,https://api.spotify.com/v1/audio-analysis/2lvk6CUSHz4j8huQ25gH54,282800,4
0.966,0.505,1,-14.762,1,0.111,0.0678,0.0,0.197,0.826,113.592,audio_features,3P6fS71hWhZvOnnxQojJ0Z,spotify:track:3P6fS71hWhZvOnnxQojJ0Z,https://api.spotify.com/v1/tracks/3P6fS71hWhZvOnnxQojJ0Z,https://api.spotify.com/v1/audio-analysis/3P6fS71hWhZvOnnxQojJ0Z,258533,4
0.399,0.708,0,-10.541,0,0.0387,0.118,0.0,0.179,0.688,207.424,audio_features,0ZUjPkZKjzRi6bgIuJovfY,spotify:track:0ZUjPkZKjzRi6bgIuJovfY,https://api.spotify.com/v1/tracks/0ZUjPkZKjzRi6bgIuJovfY,https://api.spotify.com/v1/audio-analysis/0ZUjPkZKjzRi6bgIuJovfY,235627,4
0.429,0.326,5,-12.703,1,0.03,0.377,0.0,0.101,0.185,77.849,audio_features,47SOobTLWvyZpUfpmuUARJ,spotify:track:47SOobTLWvyZpUfpmuUARJ,https://api.spotify.com/v1/tracks/47SOobTLWvyZpUfpmuUARJ,https://api.spotify.com/v1/audio-analysis/47SOobTLWvyZpUfpmuUARJ,228267,4
0.541,0.44,10,-12.206,1,0.031,0.191,0.0,0.114,0.232,140.273,audio_features,3RMeOetCdXttthQK0clPuz,spotify:track:3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/tracks/3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/audio-analysis/3RMeOetCdXttthQK0clPuz,255667,4
0.834,0.871,10,-6.972,0,0.0821,0.15,0.0721,0.287,0.835,110.294,audio_features,1Oz5bcZyzhiaEa3F06EiPY,spotify:track:1Oz5bcZyzhiaEa3F06EiPY,https://api.spotify.com/v1/tracks/1Oz5bcZyzhiaEa3F06EiPY,https://api.spotify.com/v1/audio-analysis/1Oz5bcZyzhiaEa3F06EiPY,225840,4
0.52,0.778,5,-3.933,1,0.029,0.00729,0.000164,0.0834,0.282,117.973,audio_features,4HcBshqrvH5tD8Cz3xkmKl,spotify:track:4HcBshqrvH5tD8Cz3xkmKl,https://api.spotify.com/v1/tracks/4HcBshqrvH5tD8Cz3xkmKl,https://api.spotify.com/v1/audio-analysis/4HcBshqrvH5tD8Cz3xkmKl,268853,4
0.493,0.969,1,-0.913,1,0.0537,0.00194,0.0,0.135,0.564,121.054,audio_features,72dlZ9e4PXM9IqRiio9oS5,spotify:track:72dlZ9e4PXM9IqRiio9oS5,https://api.spotify.com/v1/tracks/72dlZ9e4PXM9IqRiio9oS5,https://api.spotify.com/v1/audio-analysis/72dlZ9e4PXM9IqRiio9oS5,234057,4
0.594,0.421,7,-13.707,0,0.0312,0.198,0.0,0.0832,0.637,74.041,audio_features,78bDGxqn2KF2VU1G3Kz6J0,spotify:track:78bDGxqn2KF2VU1G3Kz6J0,https://api.spotify.com/v1/tracks/78bDGxqn2KF2VU1G3Kz6J0,https://api.spotify.com/v1/audio-analysis/78bDGxqn2KF2VU1G3Kz6J0,238467,4
0.787,0.63,0,-12.295,1,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,audio_features,6J6RWKCPN5RFKHUKEUFjxS,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,https://api.spotify.com/v1/tracks/6J6RWKCPN5RFKHUKEUFjxS,https://api.spotify.com/v1/audio-analysis/6J6RWKCPN5RFKHUKEUFjxS,267293,4
